FROM_STATION,TO_STATION,FLOW
长岭陂站,后瑞站,12
长岭陂站,福永站,27
长岭陂站,南山站,43
长岭陂站,机场站,22
长岭陂站,碧海湾站,18
长岭陂站,宝安站,1
长岭陂站,桥头站,16
长岭陂站,香蜜湖站,2
长岭陂站,鲤鱼门站,46
长岭陂站,大芬站,65
长岭陂站,太安站,33
长岭陂站,大运站,27
长岭陂站,福田口岸站,39
长岭陂站,竹子林站,22
长岭陂站,福田站,10
长岭陂站,红山站,98
长岭陂站,科学馆站,14
长岭陂站,科苑站,8
长岭陂站,红岭站,9
长岭陂站,上梅林站,40
长岭陂站,高新园站,21
长岭陂站,香蜜站,1
长岭陂站,安托山站,10
长岭陂站,坂田站,581
长岭陂站,福民站,23
长岭陂站,少年宫站,29
长岭陂站,岗厦站,22
长岭陂站,坪洲站,98
长岭陂站,宝体站,25
长岭陂站,市民中心站,12
长岭陂站,益田站,5
长岭陂站,石厦站,19
长岭陂站,深湾站,4
长岭陂站,布吉站,175
长岭陂站,上塘站,77
长岭陂站,深圳湾公园站,3
长岭陂站,民治站,1051
长岭陂站,怡景站,72
长岭陂站,民乐站,41
长岭陂站,布心站,49
长岭陂站,横岗站,41
长岭陂站,新安站,6
车公庙站,购物公园站,2441
车公庙站,西丽站,2541
车公庙站,西乡站,867
车公庙站,长龙站,647
车公庙站,草埔站,736
车公庙站,香梅北站,320
车公庙站,龙井站,692
车公庙站,龙城广场站,271
车公庙站,珠光站,1572
车公庙站,龙华站,1967
车公庙站,沙尾站,4308
车公庙站,上沙站,3298
车公庙站,皇岗村站,661
车公庙站,农林站,741
车公庙站,桃源村站,1235
车公庙站,皇岗口岸站,362
车公庙站,西丽湖站,569
车公庙站,深云站,313
车公庙站,茶光站,902
车公庙站,华强路站,2070
车公庙站,龙胜站,2036
车公庙站,黄贝岭站,1507
车公庙站,红树湾南站,206
车公庙站,红岭北站,893
车公庙站,笋岗站,815
车公庙站,赤尾站,1104
车公庙站,洪湖站,291
车公庙站,华强南站,372
车公庙站,黄木岗站,303
车公庙站,八卦岭站,356
车公庙站,下沙站,2283
车公庙站,文锦站,86
车公庙站,梅景站,2010
车公庙站,香梅站,915
车公庙站,人民南站,57
车公庙站,向西村站,141
车公庙站,下梅林站,1425
车公庙站,鹿丹村站,81
车公庙站,松岗站,792
车公庙站,马安山站,683
车公庙站,梅村站,1314
车公庙站,孖岭站,672
车公庙站,红岭南站,69
车公庙站,沙井站,1052
车公庙站,后亭站,356
车公庙站,泥岗站,802
车公庙站,园岭站,689
车公庙站,碧头站,211
车公庙站,银湖站,274
车公庙站,塘尾站,558
车公庙站,水贝站,268
车公庙站,深康站,193
车公庙站,清湖站,2627
车公庙站,深大站,1526
车公庙站,深圳北站,1208
车公庙站,水湾站,434
车公庙站,湾厦站,241
车公庙站,爱联站,316
车公庙站,田贝站,390
车公庙站,燕南站,181
车公庙站,登良站,501
车公庙站,灵芝站,1310
车公庙站,留仙洞站,336
车公庙站,海月站,572
车公庙站,洪浪北站,944
车公庙站,永湖站,180
车公庙站,海上世界站,190
车公庙站,机场东站,355
车公庙站,新秀站,569
车公庙站,晒布站,595
车公庙站,桃园站,1318
车公庙站,景田站,2349
车公庙站,杨美站,570
车公庙站,木棉湾站,943
车公庙站,岗厦北站,278
车公庙站,宝安中心站,532
车公庙站,宝华站,119
车公庙站,大学城站,433
车公庙站,大剧院站,2654
车公庙站,塘朗站,314
车公庙站,通新岭站,340
