FROM_STATION,TO_STATION,FLOW
田贝站,坂田站,198
海上世界站,皇岗口岸站,17
留仙洞站,华强北站,54
湾厦站,深康站,8
海月站,西丽湖站,25
永湖站,园岭站,25
水贝站,马安山站,11
灵芝站,横岗站,112
海月站,华强路站,60
田贝站,国贸站,352
湾厦站,深大站,78
深圳北站,草埔站,380
燕南站,布心站,150
登良站,临海站,8
水贝站,沙井站,20
永湖站,泥岗站,9
爱联站,太安站,46
海上世界站,皇岗村站,12
洪浪北站,红树湾南站,15
留仙洞站,华侨城站,14
湾厦站,深圳北站,82
海上世界站,沙尾站,66
燕南站,布吉站,311
爱联站,大运站,485
登良站,湖贝站,119
灵芝站,桃园站,288
深圳北站,长龙站,985
水湾站,南山站,126
田贝站,固戍站,29
海月站,龙胜站,66
永湖站,银湖站,5
洪浪北站,洪湖站,10
水贝站,后亭站,8
留仙洞站,前海湾站,35
永湖站,香梅站,3
水湾站,福永站,153
登良站,上梅林站,105
洪浪北站,华强南站,38
田贝站,双龙站,239
深圳北站,西乡站,648
海月站,高新园站,257
湾厦站,水贝站,5
海上世界站,龙井站,24
灵芝站,晒布站,55
爱联站,塘朗站,42
燕南站,宝安中心站,21
留仙洞站,侨城东站,9
机场东站,农林站,5
海月站,六约站,14
新秀站,碧海湾站,32
晒布站,碧头站,11
机场东站,深云站,4
海上世界站,通新岭站,7
桃园站,赤湾站,18
新秀站,机场站,79
水湾站,洪浪北站,78
景田站,下梅林站,421
海月站,侨香站,110
杨美站,黄贝岭站,622
深圳北站,下水径站,720
洪浪北站,大学城站,624
水贝站,木棉湾站,334
木棉湾站,八卦岭站,107
晒布站,文锦站,11
永湖站,岗厦北站,7
水湾站,永湖站,3
桃园站,购物公园站,516
景田站,梅景站,570
深圳北站,上水径站,538
海月站,侨城北站,159
永湖站,少年宫站,51
洪浪北站,大剧院站,131
水贝站,景田站,36
木棉湾站,黄木岗站,79
机场东站,桃源村站,14
晒布站,向西村站,6
杨美站,鲤鱼门站,36
海上世界站,吉祥站,7
晒布站,人民南站,8
机场东站,龙井站,18
景田站,香梅站,350
木棉湾站,华强南站,82
水贝站,晒布站,250
深圳北站,上梅林站,1372
洪浪北站,塘朗站,509
桃园站,西乡站,962
海月站,侨城东站,49
永湖站,宝安中心站,5
新秀站,福永站,26
杨美站,高新园站,164
海上世界站,双龙站,15
水湾站,水贝站,14
晒布站,鹿丹村站,33
海月站,会展中心站,137
木棉湾站,赤尾站,63
杨美站,香蜜站,4
桃园站,西丽站,222
景田站,下沙站,872
深圳北站,上塘站,812
机场东站,珠光站,34
海上世界站,南联站,5
永湖站,宝华站,6
水贝站,新秀站,7
洪浪北站,塘坑站,37
新秀站,桥头站,15
水湾站,清湖站,101
木棉湾站,深圳湾公园站,40
海上世界站,坪洲站,134
洪浪北站,宝体站,371
景田站,红岭南站,50
桃园站,香蜜湖站,130
深圳北站,五和站,2902
水贝站,民治站,151
杨美站,茶光站,80
海月站,华新站,20
晒布站,塘尾站,20
海月站,华强北站,155
海上世界站,坂田站,34
深圳北站,丹竹头站,702
杨美站,西丽湖站,37
桃园站,香梅北站,64
景田站,园岭站,168
永湖站,怡景站,40
木棉湾站,深湾站,2
洪浪北站,安托山站,36
水湾站,深康站,12
机场东站,皇岗口岸站,14
水贝站,民乐站,25
晒布站,马安山站,26
机场东站,皇岗村站,5
木棉湾站,红树湾南站,1
水贝站,横岗站,291
深圳北站,临海站,29
晒布站,沙井站,51
杨美站,华强路站,68
景田站,泥岗站,207
海上世界站,国贸站,26
洪浪北站,太安站,79
桃园站,草埔站,65
永湖站,布心站,30
海月站,华侨城站,61
水湾站,深大站,109
木棉湾站,深云站,3
杨美站,赤湾站,6
晒布站,下梅林站,71
洪浪北站,通新岭站,17
景田站,八卦岭站,89
海月站,下水径站,76
海上世界站,侨香站,41
水贝站,岗厦北站,8
永湖站,大学城站,25
水湾站,木棉湾站,31
机场东站,黄贝岭站,25
海月站,上水径站,8
永湖站,大剧院站,74
杨美站,购物公园站,158
机场东站,鲤鱼门站,116
水湾站,景田站,155
晒布站,梅景站,46
海上世界站,侨城北站,73
水贝站,少年宫站,68
洪浪北站,吉祥站,27
景田站,黄木岗站,45
木棉湾站,桃源村站,12
机场东站,龙城广场站,9
水贝站,市民中心站,25
永湖站,大芬站,223
新秀站,松岗站,17
景田站,笋岗站,76
木棉湾站,上沙站,63
洪浪北站,后瑞站,179
海上世界站,兴东站,32
海月站,东角头站,588
杨美站,长岭陂站,119
晒布站,孖岭站,47
水湾站,杨美站,31
景田站,红岭北站,238
洪浪北站,后海站,634
晒布站,梅村站,51
海月站,世界之窗站,490
杨美站,车公庙站,288
木棉湾站,农林站,31
水贝站,岗厦站,104
新秀站,碧头站,13
永湖站,大新站,9
海上世界站,六约站,17
水湾站,机场东站,30
机场东站,龙华站,52
新秀站,人民南站,1
景田站,华强南站,127
水湾站,晒布站,23
杨美站,西乡站,90
机场东站,高新园站,699
海月站,上梅林站,69
海上世界站,侨城东站,29
洪浪北站,双龙站,64
晒布站,香梅站,9
水贝站,宝安中心站,8
永湖站,塘朗站,18
木棉湾站,龙井站,11
新秀站,塘坑站,21
景田站,会展中心站,446
晒布站,南联站,156
岗厦北站,西丽站,141
宝安中心站,珠光站,102
木棉湾站,上塘站,30
宝华站,赤尾站,9
大学城站,五和站,1538
大剧院站,华新站,115
塘朗站,坪洲站,500
通新岭站,香蜜湖站,17
吉祥站,茶光站,6
塘坑站,宝体站,5
南联站,深圳湾公园站,21
南联站,红树湾南站,3
塘坑站,太安站,68
通新岭站,草埔站,180
大剧院站,华侨城站,198
吉祥站,华强路站,98
塘朗站,国贸站,36
大学城站,临海站,7
双龙站,皇岗村站,14
吉祥站,西丽湖站,6
双龙站,皇岗口岸站,26
大学城站,丹竹头站,97
塘朗站,坂田站,501
大剧院站,华强北站,1199
通新岭站,香梅北站,70
塘坑站,安托山站,10
吉祥站,高新园站,52
大剧院站,侨城东站,305
大学城站,上梅林站,147
通新岭站,西乡站,21
塘朗站,双龙站,44
双龙站,龙井站,18
塘坑站,塘朗站,76
南联站,华强南站,19
塘坑站,大剧院站,289
大学城站,上水径站,164
通新岭站,购物公园站,286
大剧院站,侨城北站,142
南联站,黄木岗站,27
双龙站,桃源村站,19
塘朗站,吉祥站,26
吉祥站,鲤鱼门站,5
双龙站,珠光站,23
大剧院站,会展中心站,1464
大学城站,上塘站,179
通新岭站,西丽站,46
塘朗站,南联站,36
南联站,赤尾站,19
吉祥站,香蜜站,4
大剧院站,兴东站,77
塘坑站,大芬站,505
吉祥站,龙城广场站,570
塘朗站,后瑞站,92
双龙站,上沙站,38
大学城站,东角头站,55
南联站,笋岗站,50
通新岭站,长岭陂站,5
塘坑站,大运站,407
吉祥站,龙胜站,28
大学城站,湖贝站,47
塘朗站,固戍站,275
通新岭站,长龙站,87
南联站,洪湖站,20
双龙站,沙尾站,69
大剧院站,前海湾站,10
吉祥站,黄贝岭站,89
大学城站,下水径站,193
大剧院站,侨香站,394
南联站,八卦岭站,44
双龙站,深云站,9
通新岭站,赤湾站,4
塘朗站,通新岭站,20
塘坑站,大学城站,31
通新岭站,车公庙站,177
大剧院站,六约站,280
南联站,红岭北站,63
塘朗站,后海站,127
大学城站,世界之窗站,44
塘坑站,大新站,24
双龙站,农林站,16
吉祥站,龙华站,39
双龙站,深湾站,2
吉祥站,皇岗口岸站,8
大新站,丹竹头站,95
大剧院站,坂田站,515
后海站,香梅北站,146
南联站,园岭站,38
塘坑站,怡景站,106
通新岭站,西丽湖站,21
大学城站,华强北站,71
塘朗站,安托山站,22
双龙站,深圳湾公园站,21
大学城站,华新站,25
大新站,五和站,366
大剧院站,坪洲站,433
后海站,香蜜湖站,106
南联站,红岭南站,30
塘朗站,宝体站,102
塘坑站,新安站,5
通新岭站,茶光站,7
塘朗站,塘坑站,72
后海站,西丽站,400
大剧院站,南联站,158
通新岭站,香蜜站,28
塘坑站,宝华站,16
大学城站,会展中心站,103
双龙站,赤尾站,33
大新站,上塘站,87
南联站,下沙站,23
吉祥站,珠光站,10
后海站,西乡站,554
大剧院站,双龙站,198
大新站,上梅林站,122
通新岭站,高新园站,92
吉祥站,龙井站,11
双龙站,华强南站,41
塘坑站,宝安中心站,16
南联站,香梅站,8
大学城站,侨城东站,14
大新站,上水径站,70
大剧院站,吉祥站,159
通新岭站,鲤鱼门站,13
后海站,购物公园站,308
塘朗站,大剧院站,129
塘坑站,少年宫站,121
吉祥站,桃源村站,12
双龙站,黄木岗站,45
南联站,梅景站,22
大学城站,侨城北站,49
后海站,赤湾站,107
双龙站,八卦岭站,63
大学城站,侨香站,23
大剧院站,通新岭站,76
塘朗站,大学城站,514
塘坑站,岗厦北站,16
南联站,下梅林站,18
大新站,下水径站,52
通新岭站,黄贝岭站,24
吉祥站,深云站,6
吉祥站,农林站,4
塘朗站,大新站,226
后海站,车公庙站,956
大剧院站,后海站,445
通新岭站,龙华站,152
大新站,世界之窗站,467
塘坑站,岗厦站,127
双龙站,红岭北站,110
大学城站,六约站,47
南联站,梅村站,16
南联站,孖岭站,16
